1,2014/04/15,11,951.23,4052.1
17,2014/07/04,20,0.67,5419.6
7,2014/01/05,12,884.21,7025.71
16,2014/05/15,10,164.01,542.75
29,2014/08/24,2,289.7,832.17
5,2014/09/03,9,518.59,7997.9
32,2014/09/05,1,978.15,5959.79
97,2014/07/16,9,220.09,4386.18
76,2014/10/07,20,468.31,2851.24
12,2014/03/21,16,349.86,8786.21
81,2014/02/18,12,711.35,5784.44
71,2014/01/09,21,197.58,1847.91
92,2014/05/07,25,407.43,8744.11
18,2014/11/01,21,888.44,530.24
83,2014/02/16,4,638.99,2580.29
67,2014/04/23,4,626.35,3427.42
35,2014/05/29,19,20.64,3626.96
47,2014/04/15,23,559.66,8076.53
29,2014/10/01,17,522.68,6653.48
10,2014/11/13,5,296.64,750.88
31,2014/10/16,13,942.11,7007.62
69,2014/08/27,16,252.81,6532.91
24,2014/06/20,2,510.7,8471.16
96,2014/05/24,24,884.83,6342.44
33,2014/08/27,17,164.44,433.83
75,2014/08/22,10,597.87,1369.11
64,2014/10/28,21,264.37,3594.88
77,2014/05/11,10,389.06,2432.14
11,2014/10/02,17,71.87,5685.77
53,2014/09/27,26,547.19,3856.9
98,2014/07/10,10,119.11,753.61
25,2014/12/02,26,828.54,8409.03
58,2014/01/15,3,921.05,6633.28
9,2014/04/21,10,496.13,1766.89
66,2014/07/15,9,888.39,8094.44
90,2014/09/14,15,748.74,782.2
74,2014/05/16,9,513.83,9575.08
79,2014/09/24,13,625.57,2954.54
73,2014/07/03,11,833.88,8947.8
68,2014/04/22,14,222.62,1979.58
90,2014/06/06,2,277.42,8943.6
1,2014/05/11,8,517.46,8701.23
88,2014/11/08,19,546.67,1836.89
54,2014/04/21,5,843.05,4458.24
40,2014/01/08,15,698.52,8212.04
22,2014/07/20,21,390.44,8658.65
0,2014/08/08,25,876.64,2416.17
29,2014/07/26,4,647.12,4039.31
5,2014/06/13,6,608.7,2229.03
1,2014/02/23,6,550.44,608.56
13,2014/10/14,27,677.26,3295.74
59,2014/01/01,13,625.67,3390.74
35,2014/07/03,22,76.15,4110.87
13,2014/08/30,19,141.75,5537.68
23,2014/05/31,14,522.29,2828.13
21,2014/01/13,6,968.37,593.97
19,2014/08/17,10,90.49,1352.6
12,2014/06/02,8,822.2,2685.92
8,2014/05/16,22,921.75,5717.47
52,2014/01/25,27,131.81,3833.81
39,2014/11/09,25,125.2,5620.77
62,2014/08/23,17,143.45,5108.6
29,2014/02/11,29,94.97,7353.48
66,2014/04/04,0,244.75,6688.8
81,2014/07/29,0,400.14,4435.1
69,2014/04/30,20,781.05,5160.22
28,2014/02/16,18,427.24,3950.34
58,2014/06/28,27,968.22,7171.82
42,2014/11/19,22,943.05,839.71
76,2014/07/19,24,181.12,1323.56
62,2014/11/22,9,177.96,1543.33
83,2014/04/27,28,288.46,635.66
6,2014/04/16,24,643.89,6442.67
40,2014/12/06,15,39.56,4547.24
67,2014/09/10,8,356.73,6601.15
15,2014/10/15,17,556.66,2626.75
36,2014/08/16,19,514.16,633.23
30,2014/01/04,26,439.26,9194.24
53,2014/09/20,15,430.21,8172.23
70,2014/06/21,18,512.4,3613.16
95,2014/07/20,24,490.87,3167.96
69,2014/01/31,4,590.47,2729.61
7,2014/05/04,12,358.69,8099.29
22,2014/11/23,23,787.92,6754.7
96,2014/05/02,29,873.71,1980.43
40,2014/01/05,28,364.33,176.93
3,2014/11/30,12,531.96,9691.78
47,2014/03/26,6,129.36,1204.98
4,2014/10/15,26,944.79,3374.88
90,2014/06/07,28,109.88,6349.39
12,2014/04/07,29,329.29,2405.3
84,2014/10/28,20,71.99,3176.7
33,2014/04/04,21,412.43,7605.68
70,2014/11/21,21,297.28,7014.18
99,2014/10/25,24,68.51,7385.83
69,2014/11/08,4,240.83,1654.68
40,2014/11/27,0,41.13,1144.73
83,2014/07/27,15,46.59,1989
35,2014/10/22,23,40.32,6322.05
38,2014/01/19,5,630.72,4358.15
5,2014/04/28,7,503.4,4153.49
8,2014/07/10,0,559.11,113.34
95,2014/08/05,1,602.9,9818.91
66,2014/04/14,14,853.47,6640.39
63,2014/09/23,23,19.75,1291.34
21,2014/03/27,0,360.8,905.53
19,2014/02/15,14,101.18,5649.89
46,2014/06/04,8,270.83,3432.67
17,2014/10/03,22,472.13,9025.23
58,2014/03/29,26,353.39,7239.54
57,2014/12/13,21,787.56,6734.41
85,2014/02/03,20,393.6,4210.83
7,2014/07/31,9,192.22,8105.57
65,2014/05/11,11,222.23,686.98
59,2014/03/03,3,275.08,1772.61
0,2014/08/06,22,797.87,8060.53
34,2014/06/04,14,678.4,5420.27
91,2014/01/05,19,311.81,8310.71
62,2014/04/26,19,119.44,2185.58
67,2014/06/19,19,853.5,174.49
33,2014/04/19,4,798.19,1644.6
55,2014/01/24,15,704.99,114.79
65,2014/08/26,9,377.7,9669.48
87,2014/11/23,21,685.92,118.36
76,2014/08/04,19,131.59,6110.32
60,2014/11/01,28,751.75,7404.12
12,2014/06/13,17,854.34,2372.22
12,2014/01/24,22,298.16,3696.68
80,2014/05/01,29,626.53,6298.95
69,2014/05/07,12,525.37,7745.69
13,2014/11/04,29,850.67,819.27
52,2014/05/08,11,603.16,4635.82
19,2014/03/15,14,620.93,9024.79
56,2014/01/04,4,739.53,4719.07
33,2014/03/21,27,663.82,9407.65
76,2014/04/09,10,86.86,5134.49
71,2014/09/05,3,64.86,3450.17
28,2014/06/21,8,158.69,4266.91
68,2014/09/17,15,622.84,5995.21
63,2014/09/28,28,910.12,8826.9
17,2014/07/14,1,807.87,1836.13
87,2014/11/02,11,858.43,2187.3
93,2014/02/18,9,841.16,2055.07
60,2014/03/19,28,821.43,9227.66
82,2014/04/27,13,534.65,3675.11
15,2014/10/28,6,242.91,3532.35
73,2014/12/13,2,49.13,3545.86
38,2014/04/09,25,295.06,7307.33
57,2014/12/25,24,99.65,8407.94
76,2014/01/26,3,167.75,7682.68
20,2014/02/02,19,243.41,8349.53
28,2014/04/08,11,721.42,4663.81
33,2014/02/21,26,969.86,4157.14
60,2014/09/29,20,28.76,7353.1
54,2014/03/25,17,549.46,8414.71
31,2014/08/04,6,290.23,2646.39
2,2014/12/11,26,401.8,7205.22
97,2014/08/12,28,207,4353.88
68,2014/06/16,3,691.98,2960.75
21,2014/07/27,25,846.08,1749.15
76,2014/01/16,17,102.79,3732.87
29,2014/06/15,27,770.48,4594.47
51,2014/05/18,15,60.04,5872.26
14,2014/03/03,8,523.05,1270.56
16,2014/08/16,24,31.67,564.57
95,2014/04/12,2,49.01,3488.54
55,2014/12/18,0,247.31,4154.66
74,2014/04/14,0,334.09,3441.41
91,2014/04/20,4,834.32,1332.56
28,2014/01/05,2,365.92,5922.65
89,2014/10/27,26,554.14,1717.61
54,2014/06/23,22,197.88,3417.95
89,2014/12/13,21,165.89,4083.76
