2014/12/22,internet,143.73
2014/02/03,internet,123.83
2014/09/19,electricity,106.34
2014/01/27,internet,760.61
2014/06/10,car,396.46
2014/10/08,groceries,373.25
2014/02/18,car,791.11
2014/08/15,electricity,7.52
2014/06/09,groceries,631.62
2014/04/15,internet,343.97
2014/12/31,computer,96.48
2014/04/21,electricity,104.56
2014/01/16,groceries,199.88
2014/02/20,car,738.96
2014/04/01,internet,123.92
2014/09/11,car,47.44
2014/06/22,electricity,904.75
2014/07/01,rent,266.97
2014/10/09,taxes,100.57
2014/05/21,electricity,28.52
2014/02/27,internet,969.71
2014/03/20,car,796.03
2014/08/09,internet,714.83
2014/08/12,car,90.48
2014/02/03,groceries,319.39
2014/07/22,electricity,263.64
2014/09/30,groceries,469.83
2014/09/16,car,453.44
2014/09/03,computer,554.45
2014/06/25,internet,873.88
2014/10/08,taxes,30.62
2014/03/10,rent,872.5
2014/12/03,gas,809.33
2014/10/12,rent,444.61
2014/09/15,groceries,209.76
2014/01/26,taxes,700
2014/12/05,computer,460.27
2014/09/29,internet,319.86
2014/01/21,gas,373.87
2014/07/19,rent,362.85
2014/04/12,computer,398.32
2014/05/17,internet,32.88
2014/08/02,internet,659.89
2014/11/10,car,720.32
2014/08/19,gas,297.6
2014/10/30,rent,894.59
2014/02/23,rent,465.24
2014/10/24,computer,241.1
2014/04/04,taxes,993.9
2014/12/31,computer,890.34
2014/11/08,internet,219.81
2014/09/18,gas,131.17
2014/08/12,car,741.71
2014/10/11,taxes,694.38
2014/10/25,taxes,460.61
2014/10/19,computer,454.59
2014/06/23,rent,740.28
2014/01/06,groceries,257.13
2014/01/09,internet,711.17
2014/09/10,electricity,919.94
2014/08/11,rent,909.6
2014/02/15,rent,284.59
2014/03/31,groceries,618.02
2014/03/26,internet,352.99
2014/07/26,taxes,457.34
2014/04/16,computer,12.18
2014/06/10,car,215.68
2014/10/25,computer,944.29
2014/01/27,computer,305.53
2014/08/06,computer,977.1
2014/10/16,car,79.06
2014/11/22,taxes,145.89
2014/01/24,electricity,943.32
2014/06/28,electricity,13.73
2014/05/07,electricity,478.73
2014/12/19,taxes,596.73
2014/03/20,taxes,737.63
2014/01/14,computer,435.96
2014/05/13,car,479.75
2014/09/30,gas,679.59
2014/01/12,taxes,168.35
2014/12/12,taxes,328.32
2014/06/11,taxes,218.64
2014/07/06,taxes,255.06
2014/09/04,electricity,857.78
2014/04/07,gas,44.39
2014/02/10,gas,355.67
2014/04/24,groceries,779.03
2014/01/21,rent,636.33
2014/07/11,car,406.81
2014/12/09,computer,931.37
2014/06/19,computer,389.96
2014/06/17,groceries,227.22
2014/01/19,computer,716.99
2014/05/25,gas,556.09
2014/04/03,groceries,651.22
2014/07/06,gas,442.37
2014/06/08,electricity,516.16
2014/07/09,computer,30.42
2014/05/31,internet,450.62
2014/03/24,electricity,60.25
2014/01/28,rent,90.7
2014/09/16,rent,132.19
2014/09/05,gas,95.95
2014/03/30,car,803.24
2014/09/22,computer,985.45
2014/01/01,taxes,411.9
2014/06/19,gas,899.67
2014/06/24,taxes,48.18
2014/04/09,groceries,277.99
2014/03/08,electricity,413.92
2014/04/26,taxes,520.12
2014/07/18,taxes,88.05
2014/11/04,car,74.68
2014/07/05,taxes,784.5
2014/06/29,gas,18.4
2014/03/18,car,916.19
2014/09/05,gas,616.08
2014/08/07,internet,240.55
2014/08/03,computer,1.69
2014/01/17,taxes,626.7
2014/08/17,car,525.18
2014/04/26,internet,354.33
2014/12/01,rent,353.4
2014/01/06,taxes,615.09
2014/03/11,car,95.52
2014/02/17,car,559.72
2014/06/05,groceries,899.25
2014/07/04,gas,823.2
2014/06/17,electricity,99.95
2014/05/11,internet,704.34
