145,2012/08/29,106.69
712,2011/06/13,754.22
47,2012/12/01,22.69
213,2006/06/14,606.37
399,2001/10/11,207.11
762,2004/10/03,107.42
959,2013/06/28,252.15
806,2011/02/19,252.14
393,2013/02/23,479.64
397,2005/10/03,268.49
503,2003/06/27,179.4
655,2013/01/09,21.72
851,2010/05/20,485.02
333,2000/04/18,446.71
417,2006/10/21,936.45
201,2012/03/08,796.64
554,2002/07/30,272.44
113,2004/10/22,486.1
119,2006/05/26,948.44
471,2001/11/19,459.51
816,2013/09/11,65.44
160,2000/08/20,882.45
7,2003/11/10,959.56
231,2013/01/02,570.74
629,2011/10/06,389.56
149,2011/12/14,710.58
967,2009/09/08,673.93
424,2014/01/11,836.85
181,2010/09/28,989.24
141,2014/01/10,715.91
105,2013/03/28,419.99
763,2011/11/25,197.19
999,2010/08/23,933.38
310,2002/12/10,462.12
47,2007/12/06,783.23
813,2004/04/21,602.99
987,2001/09/19,579.58
937,2007/09/22,533.33
686,2006/05/03,406.94
514,2008/10/03,778.58
106,2000/03/09,556.02
431,2014/12/26,364.01
149,2013/11/04,134.28
546,2012/11/10,439.01
401,2013/12/26,628.2
134,2000/01/13,314.23
413,2001/08/26,357.33
639,2010/05/13,591.82
716,2003/11/23,244.64
932,2005/06/09,120.25
465,2006/01/03,850.04
811,2001/02/25,672.64
85,2001/02/14,700.58
785,2005/10/05,832
311,2000/03/28,491.67
381,2004/08/02,355.16
630,2005/04/15,223.76
912,2010/08/02,799.18
980,2003/05/19,136.13
187,2014/08/31,935.59
849,2005/06/24,868.71
13,2008/02/16,186.71
74,2012/11/15,449.98
263,2007/01/16,220.11
797,2011/01/31,908.11
823,2002/05/01,887.83
148,2010/07/21,827.8
293,2006/08/12,840.67
131,2009/12/16,430.06
94,2013/11/10,559.8
382,2007/10/25,498.85
906,2003/04/28,890.67
443,2004/01/02,89.72
108,2004/10/25,832
352,2005/06/12,662.26
414,2010/02/17,706.17
250,2000/08/07,421.16
590,2001/02/19,530.69
963,2001/09/28,930.6
521,2004/02/12,522.12
598,2004/12/03,792.79
482,2003/02/27,26.79
913,2006/11/10,522.57
704,2012/11/20,604.67
687,2000/12/25,984.59
938,2008/07/26,545.03
256,2003/10/28,525.84
471,2000/08/18,301.78
334,2009/02/20,479.95
86,2010/11/18,472.54
958,2000/11/12,149.08
375,2011/08/27,263.81
208,2003/08/03,897.94
548,2009/11/25,374.42
308,2014/05/07,200.36
368,2005/12/24,864.03
155,2004/10/23,543.44
986,2007/07/22,560.87
534,2008/04/03,64.54
694,2014/02/09,596.19
278,2011/05/16,823.17
801,2001/08/23,657.59
152,2011/06/03,207.54
951,2005/12/21,941.99
908,2013/11/22,264.92
979,2005/07/20,705.83
321,2000/04/18,709.04
370,2002/11/26,885.9
567,2008/04/06,85.19
668,2009/10/01,862.68
58,2001/04/04,517.24
192,2009/11/13,908.17
136,2011/02/25,677.41
987,2014/09/06,784.86
734,2011/03/30,30.77
813,2002/01/02,908.85
828,2005/06/21,38.1
792,2014/09/30,260.6
763,2003/07/31,242.5
142,2010/07/11,106.44
703,2010/01/28,12.99
591,2004/06/25,604.54
902,2002/05/14,28.79
771,2000/01/30,514.49
531,2013/07/25,327.72
114,2005/07/22,749.37
33,2011/02/25,234.91
326,2012/09/19,127.66
912,2012/04/19,669.85
177,2002/04/23,855.86
238,2007/08/14,993.8
608,2007/09/05,445.94
301,2011/05/22,609.08
771,2005/05/27,619.04
268,2009/01/18,219.82
961,2007/09/16,431.33
356,2002/11/29,882.27
277,2013/04/21,273.86
632,2003/01/30,443.13
895,2007/02/16,426.2
720,2002/09/30,527.31
761,2013/06/03,597.28
811,2004/11/14,92.57
644,2008/03/03,965.56
241,2013/12/19,527.17
15,2013/12/22,966.62
505,2006/11/25,995.94
995,2002/09/17,787.57
421,2003/10/25,20.65
734,2009/10/14,765.43
639,2003/03/13,246.74
466,2004/03/22,687.8
623,2013/12/30,750.72
754,2013/01/29,128.26
691,2009/09/14,684.75
369,2012/05/07,171.66
450,2001/06/10,254.21
478,2000/07/14,184.71
126,2007/02/05,55.47
856,2013/03/21,138.53
341,2013/03/22,348.76
569,2009/04/27,600.88
572,2005/11/07,449.41
43,2005/09/01,77.42
352,2002/03/26,742.84
812,2000/10/11,322.61
73,2003/02/12,877.13
887,2002/08/04,470.42
316,2014/06/13,84.48
529,2005/05/05,0.36
12,2005/04/29,809.67
100,2002/10/15,284.43
949,2005/11/07,472.02
388,2002/06/24,619.25
46,2012/11/11,206.22
396,2006/12/20,585.09
121,2009/07/10,377.03
29,2007/06/10,370.7
170,2007/12/15,962.22
794,2009/10/08,428.87
105,2005/01/22,75.12
178,2013/07/15,783.45
